names,cats,desc
The Very Hungry Caterpillar,Age 0-4,"Eric Carle's The Very Hungry Caterpillar deserves its reputation as a much-loved classic. Full of bright and imaginative illustrations and ingenious cut-out details, it charts the progress of a very hungry caterpillar as he eats his way through the week.
The pictures readily engage children's attention and involve them in the reading process, while helping them learn about numbers, days of the week and time. This is a fantastic book for pre-school children, who are sur"
The Elephant and the Bad Baby,Age 1-3,"One day, an elephant offers a baby a ride through the town, and the set off on a great adventure. But when the elephant finds out that the bad baby has forgotten his manners, the adventure comes to an abrupt end.
This is an irresistible picture book with a naughty baby hero, and a repeated 'rumpeta trumpeta' of a chorus that children will love to join in with. Raymond Briggs' winning illustrations make this perfect for younger toddlers, whose powers of co"
Elmer's Friends,Age 0-5,"A colourful board book in which the ever-popular Elmer the Elephant praises each of his friends for their different strengths. An ideal starting point for discussing the value of differences and individuality.
Elmer the patchwork elephant is a winning character in children's literature. A one-off and always fun, he has i"
Do You Want To Be My Friend?,Age 3+,"'Do you want to be my friend?' Asked just once, this simple question starts a little mouse's journey through this almost wordless picture book, seeking the perfect companion.
Mouse considers a veritable menagerie of animals; on each page, he meets only a tail, then, over the page, the tail’s owner (and potential friend) is revealed – although none of them is quite right.
Finally, mouse meets another mouse: 'Do you want to be my friend?' 'Yes!' comes the reply!

The repetitive pattern of this book has a lovely simplicity. It is fun guessing the animals and comparing sizes and shapes, and the illustrations’ vivid colours and boldly visible brushwork inspire creativity - and there's a guest appeara"
Princess Smartypants,Age 3-6,"Princess Smartypants does not want to get married. She enjoys being a Ms. But being a rich and pretty princess means that all the princes want her to become their wife. Find out how Princess Smartypants fights to preserve her independence in this riotously funny twist on the fairy-tale tradition.
With Babette Cole's hilarious illustrations and plenty of tongue-in-cheek humour, this anarchic story will delight children - and Princess Smartypants provides a brilliantly refreshing alternative to the traditio"
Peepo!,Age 0-4,"Much-loved picture book classic that delights babies, toddlers and their parents.
Look through the holes to spot details from the wonderful illustrations.
A rhyming peek-a-boo journey t"
Macavity,Age 3-4,"Escaped from Old Possum's Book of Practical Cats, Macavity is now the star of his own picture book. With new illustrations from Arthur Robins, this timeless rhyme will charm a new generation. Macavity is a dastardly criminal, he's got the police chasing their tails, and the rest of the world wondering how he does it - 'For when they reach the scene of the crime - Macavity's not there!'
Children will love shouting out this joyous refrain as Macavity evades the law time and time again. The bounding rhythm should make even the odd dated word or reference manageable and the scratchy illustration style perfectly suits our uncombed anti-hero. As the hapless police dog scours the pages for clues, Macavity makes more mischief that will entertain and delight. Macavity, Maca"
Baby's Bathtime,Age 0-4,"Bold, colourful and great fun, this simple and striking book is a humorous depiction of one baby's bathtime routine. Other titles in the series look at a"
Alfie Gives a Hand,Age 3-5,"Shirley Hughes' much-loved Alfie goes to his first birthday party in this lovely picture book for pre-school children. Feeling shy and scared, Alfie decides to take his old blanket with him, but when he arrives at Bernard's house, he finds it begins to get in the way of the party fun. When he sees a little girl called Min who feels even more worried and frightened than he is, Alfie decides to be brave and put his blanket down to lend Min a hand, and help her to enjoy the party.
Beautifully illustrated in Shirley Hughes' inimitable style, this is a warm and reassuring story which is ideal for helping young children deal with new experiences, and feelings of anxiety or fear. A delightful introduction to going to a first party, featuring all the classic party ingredients from presen"
Peek-a-Boo!,Age 0-4,"The exuberant characters include children on supported mats, a child with a leg spli"
I'm a Little Teapot!,Age 0-5,"A simple board book featuring a well-known nursery rhyme, interactive text. The accompanying actions are great fun and also stimulate the brain and aid muscle development. One of the c"
